0.125136,0.484000,4.932000
0.126704,0.420000,4.589000
0.128256,0.386000,4.282000
0.129824,0.357000,3.993000
0.131392,0.332000,3.729000
0.132960,0.318000,3.475000
0.134528,0.293000,3.245000
0.136080,0.274000,3.030000
0.137648,0.249000,2.830000
0.139200,0.235000,2.649000
0.140768,0.220000,2.473000
0.142336,0.200000,2.312000
0.143904,0.191000,2.165000
0.145456,0.176000,2.023000
0.147024,0.161000,1.891000
0.148576,0.152000,1.764000
0.150144,0.142000,1.647000
0.151712,0.137000,1.540000
0.153264,0.127000,1.442000
0.154832,0.117000,1.344000
0.156384,0.108000,1.256000
0.157952,0.098000,1.173000
0.159520,0.088000,1.100000
0.161088,0.083000,1.031000
0.162640,0.078000,0.968000
0.164208,0.073000,0.899000
0.165776,0.068000,0.846000
0.167328,0.064000,0.787000
0.168896,0.064000,0.738000
0.170464,0.059000,0.689000
0.172032,0.054000,0.640000
0.173584,0.044000,0.606000
0.175152,0.044000,0.562000
0.176720,0.039000,0.528000
0.178272,0.034000,0.494000
0.179840,0.034000,0.464000
0.181408,0.034000,0.430000
0.182960,0.034000,0.406000
0.184528,0.029000,0.381000
0.186080,0.024000,0.352000
0.187648,0.029000,0.332000
0.189216,0.020000,0.308000
0.190784,0.020000,0.293000
0.192336,0.015000,0.274000
0.193904,0.015000,0.254000
0.195456,0.015000,0.239000
0.197024,0.015000,0.225000
0.198592,0.015000,0.210000
0.200160,0.010000,0.196000
0.201712,0.010000,0.181000
0.203280,0.010000,0.171000
0.204832,0.005000,0.161000
0.206400,0.005000,0.152000
0.207968,0.005000,0.142000
0.209536,0.005000,0.132000
0.211104,0.005000,0.122000
0.212656,0.005000,0.117000
0.214224,0.005000,0.108000
0.215776,0.005000,0.098000
0.217344,0.000000,0.093000
0.218912,0.000000,0.088000
0.220480,0.000000,0.083000
0.222032,0.000000,0.073000
0.223600,0.000000,0.073000
0.225152,0.000000,0.068000
0.226720,0.000000,0.064000
0.228288,0.000000,0.059000
0.229856,0.000000,0.059000
0.231408,0.000000,0.054000
0.232976,0.000000,0.049000
0.234528,0.000000,0.044000
0.236096,0.000000,0.034000
0.237664,0.000000,0.034000
0.239232,0.000000,0.034000
0.240800,0.000000,0.034000
0.242352,0.000000,0.034000
0.243920,0.000000,0.029000
0.245472,0.000000,0.029000
0.247040,0.000000,0.029000
0.248608,0.000000,0.029000
