0.065696,4.966000,4.663000
0.067264,4.966000,4.687000
0.068832,4.966000,4.702000
0.070384,4.966000,4.726000
0.071952,4.971000,4.746000
0.073520,4.971000,4.761000
0.075088,4.971000,4.775000
0.076640,4.976000,4.785000
0.078208,4.976000,4.800000
0.079776,4.980000,4.804000
0.081344,4.980000,4.814000
0.082912,4.980000,4.824000
0.084464,4.980000,4.829000
0.086032,4.980000,4.844000
0.087600,4.985000,4.848000
0.089168,4.985000,4.863000
0.090720,4.985000,4.868000
0.092288,4.985000,4.883000
0.093840,4.985000,4.888000
0.095408,4.985000,4.892000
0.096976,4.985000,4.897000
0.098544,4.985000,4.902000
0.100112,4.985000,4.907000
0.101680,4.985000,4.907000
0.103232,4.990000,4.912000
0.104800,4.990000,4.912000
0.106352,4.990000,4.917000
0.107920,4.990000,4.927000
0.109488,4.990000,4.932000
0.111056,4.985000,4.932000
0.112624,4.990000,4.941000
0.114176,4.985000,4.941000
0.115744,4.990000,4.946000
0.117312,4.990000,4.946000
0.118880,4.990000,4.946000
0.120432,4.990000,4.946000
0.122000,4.990000,4.946000
0.123568,4.995000,4.946000
0.125136,0.450000,4.917000
0.126704,0.420000,4.575000
0.128272,0.386000,4.277000
0.129824,0.367000,3.988000
0.131392,0.337000,3.729000
0.132944,0.308000,3.480000
0.134512,0.293000,3.250000
0.136080,0.274000,3.045000
0.137648,0.249000,2.835000
0.139216,0.235000,2.654000
0.140768,0.220000,2.478000
0.142336,0.200000,2.307000
0.143888,0.191000,2.155000
0.145456,0.176000,2.019000
0.147024,0.161000,1.882000
0.148592,0.152000,1.755000
0.150144,0.142000,1.647000
0.151712,0.132000,1.544000
0.153264,0.122000,1.442000
0.154832,0.117000,1.344000
0.156400,0.108000,1.256000
0.157968,0.098000,1.173000
0.159520,0.093000,1.100000
0.161088,0.088000,1.026000
0.162640,0.073000,0.958000
0.164208,0.073000,0.899000
0.165776,0.068000,0.841000
0.167344,0.064000,0.787000
0.168912,0.059000,0.738000
0.170464,0.059000,0.689000
0.172032,0.054000,0.645000
0.173584,0.044000,0.606000
0.175152,0.044000,0.562000
0.176720,0.039000,0.528000
0.178288,0.034000,0.494000
0.179840,0.034000,0.459000
0.181408,0.034000,0.430000
0.182960,0.029000,0.406000
0.184528,0.029000,0.381000
0.186096,0.024000,0.352000
0.187664,0.024000,0.327000
0.189216,0.020000,0.308000
0.190784,0.015000,0.293000
0.192336,0.020000,0.274000
0.193904,0.015000,0.254000
0.195472,0.015000,0.239000
0.197040,0.015000,0.225000
0.198608,0.010000,0.210000
0.200160,0.010000,0.191000
0.201728,0.010000,0.186000
0.203280,0.010000,0.171000
0.204848,0.005000,0.161000
0.206416,0.005000,0.152000
0.207984,0.005000,0.142000
0.209536,0.005000,0.132000
0.211104,0.005000,0.122000
0.212656,0.005000,0.117000
0.214224,0.005000,0.108000
0.215792,0.005000,0.098000
0.217360,0.000000,0.093000
0.218912,0.000000,0.088000
0.220480,0.000000,0.083000
0.222032,0.000000,0.073000
0.223600,0.000000,0.073000
0.225168,0.000000,0.068000
0.226736,0.000000,0.064000
0.228304,0.000000,0.059000
0.229856,0.000000,0.059000
0.231424,0.000000,0.054000
0.232976,0.000000,0.049000
0.234544,0.000000,0.044000
0.236112,0.000000,0.044000
0.237680,0.000000,0.034000
0.239232,0.000000,0.034000
0.240800,0.000000,0.034000
0.242352,0.000000,0.034000
0.243920,0.000000,0.034000
0.245488,0.000000,0.029000
0.247056,0.000000,0.024000
0.248608,0.000000,0.024000
