0.000032,4.472000,0.029000
0.001600,4.516000,0.362000
0.003168,4.545000,0.670000
0.004736,4.575000,0.953000
0.006304,4.604000,1.212000
0.007872,4.633000,1.461000
0.009440,4.658000,1.686000
0.011008,4.682000,1.896000
0.012576,4.697000,2.097000
0.014128,4.721000,2.283000
0.015696,4.736000,2.458000
0.017248,4.756000,2.620000
0.018816,4.770000,2.776000
0.020384,4.785000,2.913000
0.021952,4.800000,3.050000
0.023504,4.809000,3.172000
0.025072,4.824000,3.289000
0.026640,4.834000,3.402000
0.028192,4.839000,3.500000
0.029760,4.853000,3.592000
0.031328,4.863000,3.675000
0.032896,4.873000,3.759000
0.034448,4.883000,3.837000
0.036016,4.888000,3.905000
0.037568,4.892000,3.978000
0.039136,4.902000,4.042000
0.040704,4.907000,4.101000
0.042272,4.912000,4.159000
0.043824,4.917000,4.213000
0.045392,4.922000,4.257000
0.046944,4.927000,4.306000
0.048512,4.932000,4.345000
0.050080,4.932000,4.384000
0.051648,4.941000,4.418000
0.053200,4.941000,4.453000
0.054768,4.946000,4.487000
0.056320,4.941000,4.516000
0.057888,4.956000,4.545000
0.059456,4.956000,4.570000
0.061024,4.961000,4.604000
0.062576,4.961000,4.629000
0.064144,4.966000,4.653000
0.065712,4.966000,4.673000
0.067264,4.966000,4.692000
0.068832,4.971000,4.707000
0.070400,4.966000,4.721000
0.071968,4.971000,4.736000
0.073520,4.966000,4.751000
0.075088,4.971000,4.765000
0.076656,4.976000,4.775000
0.078208,4.980000,4.790000
0.079776,4.980000,4.809000
0.081344,4.980000,4.814000
0.082912,4.980000,4.829000
0.084480,4.980000,4.853000
0.086032,4.985000,4.848000
0.087600,4.985000,4.853000
0.089152,4.985000,4.863000
0.090720,4.985000,4.868000
0.092288,4.985000,4.873000
0.093856,4.985000,4.878000
0.095424,4.985000,4.883000
0.096992,4.985000,4.888000
0.098544,4.985000,4.902000
0.100112,4.985000,4.907000
0.101680,4.985000,4.912000
0.103232,4.985000,4.917000
0.104800,4.990000,4.927000
0.106368,4.990000,4.927000
0.107936,4.990000,4.932000
0.109488,4.985000,4.932000
0.111056,4.990000,4.932000
0.112624,4.990000,4.932000
0.114192,4.985000,4.936000
0.115744,4.990000,4.936000
0.117312,4.985000,4.941000
0.118880,4.995000,4.946000
0.120448,4.995000,4.951000
0.122016,4.995000,4.956000
0.123568,4.990000,4.956000
0.125136,0.484000,4.932000
0.126704,0.420000,4.589000
0.128256,0.386000,4.282000
0.129824,0.357000,3.993000
0.131392,0.332000,3.729000
0.132960,0.318000,3.475000
0.134528,0.293000,3.245000
0.136080,0.274000,3.030000
0.137648,0.249000,2.830000
0.139200,0.235000,2.649000
0.140768,0.220000,2.473000
0.142336,0.200000,2.312000
0.143904,0.191000,2.165000
0.145456,0.176000,2.023000
0.147024,0.161000,1.891000
0.148576,0.152000,1.764000
0.150144,0.142000,1.647000
0.151712,0.137000,1.540000
0.153264,0.127000,1.442000
0.154832,0.117000,1.344000
0.156384,0.108000,1.256000
0.157952,0.098000,1.173000
0.159520,0.088000,1.100000
0.161088,0.083000,1.031000
0.162640,0.078000,0.968000
0.164208,0.073000,0.899000
0.165776,0.068000,0.846000
0.167328,0.064000,0.787000
0.168896,0.064000,0.738000
0.170464,0.059000,0.689000
0.172032,0.054000,0.640000
0.173584,0.044000,0.606000
0.175152,0.044000,0.562000
0.176720,0.039000,0.528000
0.178272,0.034000,0.494000
0.179840,0.034000,0.464000
0.181408,0.034000,0.430000
0.182960,0.034000,0.406000
0.184528,0.029000,0.381000
0.186080,0.024000,0.352000
0.187648,0.029000,0.332000
0.189216,0.020000,0.308000
0.190784,0.020000,0.293000
0.192336,0.015000,0.274000
0.193904,0.015000,0.254000
0.195456,0.015000,0.239000
0.197024,0.015000,0.225000
0.198592,0.015000,0.210000
0.200160,0.010000,0.196000
0.201712,0.010000,0.181000
0.203280,0.010000,0.171000
0.204832,0.005000,0.161000
0.206400,0.005000,0.152000
0.207968,0.005000,0.142000
0.209536,0.005000,0.132000
0.211104,0.005000,0.122000
0.212656,0.005000,0.117000
0.214224,0.005000,0.108000
0.215776,0.005000,0.098000
0.217344,0.000000,0.093000
0.218912,0.000000,0.088000
0.220480,0.000000,0.083000
0.222032,0.000000,0.073000
0.223600,0.000000,0.073000
0.225152,0.000000,0.068000
0.226720,0.000000,0.064000
0.228288,0.000000,0.059000
0.229856,0.000000,0.059000
0.231408,0.000000,0.054000
0.232976,0.000000,0.049000
0.234528,0.000000,0.044000
0.236096,0.000000,0.034000
0.237664,0.000000,0.034000
0.239232,0.000000,0.034000
0.240800,0.000000,0.034000
0.242352,0.000000,0.034000
0.243920,0.000000,0.029000
0.245472,0.000000,0.029000
0.247040,0.000000,0.029000
0.248608,0.000000,0.029000
